phase,hip_x,hip_y,knee_x,knee_y,ankle_x,ankle_y,hip_q,knee_q,passive_ankle_q,toe_x_sim,toe_y_sim
0.45,0.0,1.0892,-0.1148989921242631,0.4836034498043862,-0.4171507228499318,0.0136020335582882,-0.1875,0.384,0.29150607050372607,-0.185535957915367,-0.052998271728596814
0.46,0.0,1.0892,-0.1224597755020757,0.4850869614186587,-0.4256978420115929,0.0157213096933012,-0.2,0.3736,0.28467095864573694,-0.19468739589900835,-0.05294581334869526
0.47,0.0,1.0892,-0.1300014247891098,0.4866648644661446,-0.4342244898030936,0.0179370471632909,-0.2124999999999999,0.3632,0.27785353753937614,-0.2038355541879459,-0.05278733580410815
0.48,0.0,1.0892,-0.1375227616180078,0.4883369124027034,-0.4427294835132345,0.0202489966112682,-0.2249999999999999,0.3528,0.2710529808172083,-0.21297915160417583,-0.052523147700119115
0.49,0.0,1.0892,-0.1450226107951924,0.4901028439742464,-0.4512116436105131,0.0226568939611797,-0.2375,0.3424,0.2642692364818965,-0.22211685831609831,-0.05215339510995004
0.5,0.0,1.0892,-0.1524998004844879,0.4919623832575586,-0.4596697939267641,0.0251604604587424,-0.25,0.332,0.2521300269208257,-0.23166343669337286,-0.05290426307986483
0.51,0.0,1.0892,-0.1554840698822306,0.492732344537562,-0.4896897127403322,0.0448885902193812,-0.255,0.3861000000000001,0.22810381677513844,-0.2689524139846748,-0.05183806038972261
0.52,0.0,1.0892,-0.1584644521863244,0.493517217477886,-0.5185387673772505,0.0661954095394358,-0.26,0.4402000000000001,0.19955385758781533,-0.30711607040548616,-0.04948277857390526
0.53,0.0,1.0892,-0.1614408728873668,0.494316982456748,-0.5461265552668608,0.089009240398663,-0.265,0.4943000000000002,0.1752042507327441,-0.34508168699567277,-0.04388907013168432
0.54,0.0,1.0892,-0.1644132575749955,0.4951316194800651,-0.5723670641874438,0.1132531942313833,-0.27,0.5484000000000002,0.154597687555745,-0.382542145419401,-0.03523081236429676
0.55,0.0,1.0892,-0.1673815319397479,0.4959611081819541,-0.5971789723451677,0.1388454403361572,-0.275,0.6025000000000003,0.13563512610694745,-0.4195114073085875,-0.02398955692786009
0.56,0.0,1.0892,-0.1703456217749197,0.4968054278252408,-0.620485932075382,0.1656994915410911,-0.28,0.6566000000000004,0.1174990349089182,-0.45591227211038365,-0.0103587671283763
